Category,Style,Palette,Type,Icons,Layout,Charts,Background,Avoid,Pasteable prompt
*Defense Contracting (Brand),PMO Status Board (Delivery Focus),#1f2537 #442c81 #ffffff #29aae1 #e9ecef,Functional sans; mono for WBS/dates,"Calendar, milestone, risk, owner badge, gantt bars (generic)",Workstream lanes; RAID log column; milestone timeline,Gantt; burn-up line; simple risk heatmap,Light grid lines in #e9ecef,Over-decoration; non-brand colors,"PMO status board slide, brand-locked palette only, workstream lanes with RAID column, milestone timeline and gantt, crisp tables, minimal icons, clean grid background."
*Defense Contracting (Brand),Cyber Mission Assurance (Brand Dashboard),#1f2537 #442c81 #ffffff #29aae1 #e9ecef,Condensed headings + mono telemetry,"Shield, lock, node graph, alert bell, checklist (generic)",Alert feed column; coverage tiles; playbook row,Event timeline; coverage bars; severity matrix,Dark panels in #1f2537; lines in #e9ecef,Red/green-only meaning; extra colors; real org identifiers,"Cyber mission assurance dashboard slide, strict palette only, alert feed and control coverage tiles, mono telemetry labels, event timeline and severity matrix, high contrast, no extra colors or real identifiers."
*Defense Contracting (Brand),Systems Engineering Architecture (Branded),#1f2537 #442c81 #ffffff #29aae1 #e9ecef,Technical sans; mono interface labels,"Blocks/connectors, API nodes, sensor icons (generic thin-line)",Architecture diagram center; interface table; assumption callouts,Dependency matrix; capability heatmap; throughput line,Subtle micro-grid in #e9ecef,Neon effects; extra colors; unofficial logos,"Systems engineering architecture slide, brand colors only, block-and-connector diagram with interface tables, mono interface labels, capability heatmap and dependency matrix, subtle micro-grid, crisp vector."
*Defense Contracting (Brand),Prime Contractor Executive Brief (Brand Strict),#1f2537 #442c81 #ffffff #29aae1 #e9ecef,Condensed headings; clean sans labels; mono for IDs,"Minimal arrows, shield, checklist, node icons (generic)",Title band + KPI strip; three-panel content; notes footer,Conservative bars/lines; sparklines; tables,White with thin rules in #e9ecef,Official seals/insignia; classification banners; extra colors,"Executive briefing infographic slide, use only #1f2537 #442c81 #ffffff #29aae1 #e9ecef, KPI strip and three-panel grid, clean typography, minimal icons, crisp charts/tables, high readability, no official markings."
*Defense Contracting (Brand),Capture & Proposal Deck (Brand Win Themes),#1f2537 #442c81 #ffffff #29aae1 #e9ecef,Strong headline sans; clean body labels,"Target, handshake, roadmap, checklist, value badge (generic)",Value pillars row; differentiators grid; schedule strip; compliance checklist,Win-theme score bars; schedule timeline; coverage table,White with subtle #29aae1 tint at low opacity,Government form mimicry; official stamps; non-brand colors,"Capture/proposal slide, brand-locked palette only #1f2537 #442c81 #ffffff #29aae1 #e9ecef, value pillars and differentiators grid, compliance checklist and schedule timeline, crisp charts and coverage tables, white background, professional and readable, no official markings."
*Defense Contracting (Brand),Technical Memo Variant F: Risk & Mitigation Memo,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Shield, warning tag, checklist, doc tabs","Metadata header, risk summary band, mitigations lane, owners/action footer","Simple risk matrix, risk burn-down (small)",Light ruled paper,"Vague ownership, dense prose","“Technical writing risk memo slide, #442C81/#0461DD theme, Times New Roman, metadata header, risk summary band, mitigations lane with owners and due dates, simple risk matrix and small risk burndown, light ruled paper background, crisp #141827 text.”"
*Defense Contracting (Brand),Technical Memo Variant H: Interface Coordination Memo,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Connector, arrows, doc tabs, pin","Interface summary band, assumptions box, action items lane","Interface matrix table, dependency bars (small)",Light ruled paper,"Vague ownership, dense prose","“Technical writing interface coordination memo slide, #442C81/#0461DD accents, Times New Roman, interface summary band, assumptions box, action items lane, interface matrix table with small dependency bars, light ruled paper background, crisp #141827 text.”"
*Defense Contracting (Brand),Technical Memo Variant A: Left Rail Sections,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Note tag, section tabs, pin, doc icon","Metadata header + left rail for sections, problem/solution body, action items footer","Decision table, mini timeline",Light ruled paper,"Vague ownership, dense prose","“Technical writing memo slide, #442C81 and #0461DD theme, Times New Roman serif for formal engineering aesthetic, left rail section navigator, metadata header, problem/solution body, action items footer, decision table and mini timeline, light ruled paper background, crisp readable #141827 text.”"
*Defense Contracting (Brand),Technical Memo (New Design),#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Note tag, pin, doc tabs","Header metadata block, problem/solution sections, action items","Simple timeline, decision table",Light ruled paper,"Vague ownership, dense prose","“Technical writing memo slide, #442C81 and #0461DD theme. Times New Roman serif font for formal engineering aesthetic. Metadata header, problem/solution sections, action items, decision table, and timeline. Light ruled paper background, crisp readable #141827 text.”"
*Defense Contracting (Brand),Technical Memo Variant C: 2-Column Memo + Evidence Box,#442C81 #FFFFFF #141827 #0461DD #1F2537,"Times New Roman, compact headings, bullet-first","Doc tabs, citation mark, pin, note tag","Two-column layout: left narrative bullets, right “evidence/assumptions” box","Comparison bars (small), decision table",Light ruled paper,"Vague ownership, dense prose","“Technical writing memo slide, two-column layout, #442C81/#0461DD accents, Times New Roman, left column bullets for problem/solution, right column evidence and assumptions box, small comparison bars and decision table, light ruled paper background, crisp #141827 text.”"
